,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KobeBryant,2173,1757,1690,1712,1569,1639,1336,1595,73,713
JoeJohnson,1395,1139,1497,1420,1386,1161,931,1052,1018,1025
LeBronJames,1823,1621,1642,1613,1528,1485,1169,1354,1353,1279
CarmeloAnthony,1572,1453,1481,1207,1502,1503,1025,1489,1643,806
DwightHoward,881,873,974,979,834,1044,726,813,800,423
ChrisBosh,1087,1094,1027,1263,1158,1056,807,907,953,745
ChrisPaul,947,871,1291,1255,637,928,890,856,870,1170
KevinDurant,647,647,1366,1390,1668,1538,1297,1433,1688,467
DerrickRose,436,436,436,1208,1373,1597,695,0,164,835
DwayneWade,1413,962,937,1739,1511,1384,837,1093,761,1084